Occasion,Year,Month,Location,Sample_ID,Sample_type,Species,Weight (mg),N,d15N,C,d13C,CN
OCT_2021,2021,OCTOBER,T1,T1101321281,Muscle_Tissue,MTS,0.964,13.94,13,46.65,-23.22,3.346484935
OCT_2021,2021,OCTOBER,T1,T1101321282,Muscle_Tissue,MTS,1.006,13.72,13.14,45.67,-24.21,3.328717201
OCT_2021,2021,OCTOBER,T1,T1101321284,Muscle_Tissue,MTS,1.05,13.95,12.23,45.09,-22.09,3.232258065
OCT_2021,2021,OCTOBER,T2,T2101421217,Muscle_Tissue,BNT,0.947,13.9,11.71,44.92,-22.59,3.231654676
OCT_2021,2021,OCTOBER,T2,T2101421218,Muscle_Tissue,BNT,0.967,14.01,12.27,44.85,-21.98,3.201284797
OCT_2021,2021,OCTOBER,T2,T2101421219,Muscle_Tissue,BNT,1.045,13.52,11.98,43.88,-23.32,3.24556213
OCT_2021,2021,OCTOBER,T2,T2101421220,Muscle_Tissue,BNT,1.121,13.55,12.15,44,-22.44,3.247232472
OCT_2021,2021,OCTOBER,T2,T2101421221,Muscle_Tissue,BNT,1.094,13.81,12.03,44.88,-22.64,3.249818972
OCT_2021,2021,OCTOBER,T2,T2101421222,Muscle_Tissue,BNT,0.93,13.78,11.05,44.65,-22.31,3.240203193
OCT_2021,2021,OCTOBER,T2,T2101421223,Muscle_Tissue,BNT,1.089,15.17,12.22,48.62,-22.89,3.205009888
OCT_2021,2021,OCTOBER,T2,T2101421224,Muscle_Tissue,BNT,0.96,13.31,13.39,44.54,-22.36,3.346356123
OCT_2021,2021,OCTOBER,T2,T2101421231,Muscle_Tissue,MTS,0.979,13.37,13.03,45.93,-22.47,3.435302917
OCT_2021,2021,OCTOBER,T2,T2101421232,Muscle_Tissue,MTS,0.991,13.4,12.23,45.24,-21.82,3.376119403
OCT_2021,2021,OCTOBER,T2,T2101421233,Muscle_Tissue,MTS,0.938,13.18,13.53,44.9,-22.3,3.406676783
OCT_2021,2021,OCTOBER,T2,T2101421234,Muscle_Tissue,MTS,0.971,13.31,13.52,46.82,-22.1,3.517655898
OCT_2021,2021,OCTOBER,T2,T2101421235,Muscle_Tissue,MTS,1.067,13.58,13.28,45.62,-21.89,3.359351988
OCT_2021,2021,OCTOBER,T2,T2101421237,Muscle_Tissue,MTS,1.011,13.33,11.66,43.1,-23.91,3.233308327
OCT_2021,2021,OCTOBER,T2,T2101421238,Muscle_Tissue,BNT,1.194,12.91,12.63,44.92,-22.16,3.479473277
OCT_2021,2021,OCTOBER,T2,T2101421240,Muscle_Tissue,MTS,0.975,13.09,11.75,44.1,-22.52,3.368983957
OCT_2021,2021,OCTOBER,T2,T2101421241,Muscle_Tissue,MTS,0.926,13.34,12.12,45,-22.41,3.373313343
OCT_2021,2021,OCTOBER,T2,T2101421242,Muscle_Tissue,MTS,0.945,13.13,13.41,45.29,-22.21,3.449352628
OCT_2021,2021,OCTOBER,T2,T2101421245,Muscle_Tissue,MTS,0.911,13.45,13.31,44.75,-22.16,3.327137546
OCT_2021,2021,OCTOBER,T2,T2101421249,Muscle_Tissue,MTS,0.963,13.56,12.11,45.49,-22.5,3.354719764
OCT_2021,2021,OCTOBER,T2,T2101421267,Muscle_Tissue,MTS,1.025,13.2,11.13,43.06,-22.08,3.262121212
OCT_2021,2021,OCTOBER,T2,T2101421274,Muscle_Tissue,BNT,0.997,13.32,10.97,43.92,-22.42,3.297297297
OCT_2021,2021,OCTOBER,T2,T2101421349,Muscle_Tissue,BNT,1.006,13.69,12.1,44.73,-23,3.26734843
OCT_2021,2021,OCTOBER,T2,T2101421378,Muscle_Tissue,BNT,0.969,13.75,11.84,45.04,-23.11,3.275636364
OCT_2021,2021,OCTOBER,T2,T2101421379,Muscle_Tissue,BNT,0.999,13.74,12.27,44.74,-22.7,3.256186317
OCT_2021,2021,OCTOBER,T2,T2101421380,Muscle_Tissue,BNT,1.062,13.32,11.74,45.26,-23.33,3.397897898
OCT_2021,2021,OCTOBER,T2,T2101421397,Muscle_Tissue,MTS,1.054,13.75,13.2,45.66,-23.86,3.320727273
OCT_2021,2021,OCTOBER,T2,T2101421399,Muscle_Tissue,MTS,1.093,13.44,13.64,45.82,-22.29,3.40922619
OCT_2021,2021,OCTOBER,T2,T2101421425,Muscle_Tissue,MTS,0.954,13.5,11.2,44.34,-22.66,3.284444444
OCT_2021,2021,OCTOBER,T2,T2101421469,Muscle_Tissue,BNT,1.144,13.62,11.57,44.55,-23.38,3.27092511
OCT_2021,2021,OCTOBER,T3,T3101521087,Muscle_Tissue,BNT,1.023,13.66,11.79,44.88,-22.73,3.285505124
OCT_2021,2021,OCTOBER,T3,T3101521088,Muscle_Tissue,BNT,0.915,13.72,12.25,44.57,-22.88,3.248542274
OCT_2021,2021,OCTOBER,T3,T3101521089,Muscle_Tissue,BNT,1.057,13.56,11.51,44.54,-22.15,3.284660767
